sample_name,query,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,LCT,species_read_raw,species_read_index,species_pa
E001,ASV1,NA,105459,NA,NA,Clupeiformes,29304,0.3443415449856732,1,Clupeidae,29304,0.3443415449856732,1,Clupea,29304,0.3443415449856732,1,Clupea pallasii,29304,0.3443415449856732,1
E001,ASV10,NA,105459,NA,NA,Gadiformes,19554,0.2284469046796895,1,Gadidae,15662,0.18297716176195647,1,Gadus,15662,0.18297716176195647,1,Gadus macrocephalus,0,0,0
E001,ASV100,NA,105459,NA,NA,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Pleuronectidae1,0,0,0,Pleuronectidae1,0,0,0
E001,ASV101,NA,105459,NA,NA,Salmoniformes,56444,0.5663781466491592,1,Salmonidae,56444,0.5663781466491592,1,Oncorhynchus,56444,0.5663781466491592,1,Oncorhynchus nerka,47309,0.4747144734573219,1
E001,ASV102,NA,105459,NA,NA,Gadiformes,19554,0.2284469046796895,1,Gadidae,15662,0.18297716176195647,1,Gadus,15662,0.18297716176195647,1,Gadus chalcogrammus,15662,0.18299179569105797,1
E001,ASV104,NA,105459,NA,NA,Clupeiformes,29304,0.3443415449856732,1,Clupeidae,29304,0.3443415449856732,1,Clupea,29304,0.3443415449856732,1,Clupea pallasii,29304,0.3443415449856732,1
E001,ASV106,NA,105459,NA,NA,Salmoniformes,56444,0.5663781466491592,1,Salmonidae,56444,0.5663781466491592,1,Oncorhynchus,56444,0.5663781466491592,1,Oncorhynchus nerka,47309,0.4747144734573219,1
E001,ASV11,NA,105459,NA,NA,Gadiformes,19554,0.2284469046796895,1,Gadidae,15662,0.18297716176195647,1,Gadus,15662,0.18297716176195647,1,Gadus chalcogrammus,15662,0.18299179569105797,1
E001,ASV113,NA,105459,NA,NA,Clupeiformes,29304,0.3443415449856732,1,Clupeidae,29304,0.3443415449856732,1,Clupea,29304,0.3443415449856732,1,Clupea pallasii,29304,0.3443415449856732,1
E001,ASV114,NA,105459,NA,NA,Gadiformes,19554,0.2284469046796895,1,Merlucciidae,3892,0.20145522342755653,1,Merluccius,3892,0.20145522342755653,1,Merluccius productus,3892,0.20145522342755653,1
E001,ASV116,NA,105459,NA,NA,Clupeiformes,29304,0.3443415449856732,1,Clupeidae,29304,0.3443415449856732,1,Clupea,29304,0.3443415449856732,1,Clupea pallasii,29304,0.3443415449856732,1
E001,ASV119,NA,105459,NA,NA,Osmeriformes,0,0,0,Bathylagidae,0,0,0,Bathylagus,0,0,0,Bathylagus pacificus,0,0,0
E001,ASV12,NA,105459,NA,NA,Salmoniformes,56444,0.5663781466491592,1,Salmonidae,56444,0.5663781466491592,1,Oncorhynchus,56444,0.5663781466491592,1,Oncorhynchus keta,0,0,0
E001,ASV121,NA,105459,NA,NA,Gadiformes,19554,0.2284469046796895,1,Gadidae,15662,0.18297716176195647,1,Gadus,15662,0.18297716176195647,1,Gadus macrocephalus,0,0,0
E001,ASV129,NA,105459,NA,NA,Clupeiformes,29304,0.3443415449856732,1,Clupeidae,29304,0.3443415449856732,1,Clupea,29304,0.3443415449856732,1,Clupea pallasii,29304,0.3443415449856732,1
E001,ASV13,NA,105459,NA,NA,Salmoniformes,56444,0.5663781466491592,1,Salmonidae,56444,0.5663781466491592,1,Oncorhynchus,56444,0.5663781466491592,1,Oncorhynchus tshawytscha,5015,0.15409188094288875,1
E001,ASV132,NA,105459,NA,NA,Gadiformes,19554,0.2284469046796895,1,Gadidae,15662,0.18297716176195647,1,Gadus,15662,0.18297716176195647,1,Gadus chalcogrammus,15662,0.18299179569105797,1
E001,ASV133,NA,105459,NA,NA,Salmoniformes,56444,0.5663781466491592,1,Salmonidae,56444,0.5663781466491592,1,Oncorhynchus,56444,0.5663781466491592,1,Oncorhynchus tshawytscha,5015,0.15409188094288875,1
E001,ASV136,NA,105459,NA,NA,Clupeiformes,29304,0.3443415449856732,1,Clupeidae,29304,0.3443415449856732,1,Clupea,29304,0.3443415449856732,1,Clupea pallasii,29304,0.3443415449856732,1
E001,ASV137,NA,105459,NA,NA,Gadiformes,19554,0.2284469046796895,1,Gadidae,15662,0.18297716176195647,1,Gadus,15662,0.18297716176195647,1,Gadus chalcogrammus,15662,0.18299179569105797,1
E001,ASV139,NA,105459,NA,NA,Salmoniformes,56444,0.5663781466491592,1,Salmonidae,56444,0.5663781466491592,1,Oncorhynchus,56444,0.5663781466491592,1,Oncorhynchus nerka,47309,0.4747144734573219,1
E001,ASV14,NA,105459,NA,NA,Osmeriformes,0,0,0,Osmeridae,0,0,0,Thaleichthys,0,0,0,Thaleichthys pacificus,0,0,0
E001,ASV140,NA,105459,NA,NA,Salmoniformes,56444,0.5663781466491592,1,Salmonidae,56444,0.5663781466491592,1,Oncorhynchus,56444,0.5663781466491592,1,Oncorhynchus gorbuscha,4120,0.21291953253940643,1
E001,ASV143,NA,105459,NA,NA,Scorpaeniformes,157,0.002049231270734752,1,Sebastidae,157,0.002446872757578464,1,Sebastes,157,0.002446872757578464,1,Sebastes crameri/diploproa,157,0.002446872757578464,1
E001,ASV144,NA,105459,NA,NA,Salmoniformes,56444,0.5663781466491592,1,Salmonidae,56444,0.5663781466491592,1,Oncorhynchus,56444,0.5663781466491592,1,Oncorhynchus nerka,47309,0.4747144734573219,1
E001,ASV149,NA,105459,NA,NA,Scorpaeniformes,157,0.002049231270734752,1,Liparidae,0,0,0,Liparis,0,0,0,Liparis dennyi/fucensis,0,0,0
E001,ASV15,NA,105459,NA,NA,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Glyptocephalus,0,0,0,Glyptocephalus zachirus,0,0,0
E001,ASV152,NA,105459,NA,NA,Clupeiformes,29304,0.3443415449856732,1,Clupeidae,29304,0.3443415449856732,1,Clupea,29304,0.3443415449856732,1,Clupea pallasii,29304,0.3443415449856732,1
E001,ASV155,NA,105459,NA,NA,Scorpaeniformes,157,0.002049231270734752,1,Liparidae,0,0,0,Liparis,0,0,0,Liparis dennyi/fucensis,0,0,0
